molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1210902,O=C1N(c2ccc(F)c(Cl)c2)C(c2ccccn2)C12CCN(c1nc3cc(F)c(C(F)(F)F)cc3[nH]1)CC2,106.0,active
CHEMBL1210136,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C)C2c1ccc(Cl)cc1)C(=O)OC,410.0,active
CHEMBL1210137,CN1CC2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1,214.0,active
CHEMBL1210138,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)C(=O)N(C)C2c1ccc(Cl)cc1)C(=O)OC,800.0,active
CHEMBL1210139,CN1C(=O)C2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1,920.0,active
CHEMBL1210140,CC(C)CN1CC2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(Cl)cc1,177.0,active
CHEMBL1210202,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C(C)C)C2c1ccc(F)cc1)C(=O)OC,256.0,active
CHEMBL1210203,CC(C)N1CC2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(F)cc1,172.0,active
CHEMBL1210204,CN1CC2(CCN(C(=O)Nc3cc(F)cc(F)c3)CC2)C1c1ccc(F)cc1,410.0,active
CHEMBL1210984,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(C1CC1)C2c1ccc(Cl)cc1)C(=O)OC,325.0,active
CHEMBL1210205,O=C(Nc1cc(F)cc(F)c1)N1CCC2(CC1)CN(C1CC1)C2c1ccc(Cl)cc1,398.0,active
CHEMBL1210265,O=C(Nc1cc(F)cc(F)c1)N1CCC2(CC1)C(=O)N(C1CC1)C2c1ccc(Cl)cc1,2258.0,intermediate
CHEMBL1210266,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(c1cccc(F)c1)C2c1ccc(Cl)cc1)C(=O)OC,146.0,active
CHEMBL1210266,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)CN(c1cccc(F)c1)C2c1ccc(Cl)cc1)C(=O)OC,3200.0,intermediate
CHEMBL1210267,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)C(=O)N(c1cccc(F)c1)C2c1ccc(Cl)cc1)C(=O)OC,45.0,active
CHEMBL1210267,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)C(=O)N(c1cccc(F)c1)C2c1ccc(Cl)cc1)C(=O)OC,872.0,active
CHEMBL1210983,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)C(=O)N(c1cccc(F)c1)C2c1ccc(Cl)cc1)C(=O)OC#N,35.0,active
CHEMBL1210370,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)C(=O)N(c1cccc(F)c1)C2c1ccc(Cl)cc1)C(=O)OC(C)C,45.0,active
CHEMBL1210371,CC[C@H](C)[C@H](NC(=O)N1CCC2(CC1)C(=O)N(c1cccc(F)c1)C2c1ccc(Cl)cc1)C(=O)NC,182.0,active
CHEMBL1210372,COC(=O)[C@H](COC(C)(C)C)NC(=O)N1CCC2(CC1)C(=O)N(c1cccc(F)c1)C2c1ccc(Cl)cc1,251.0,active
CHEMBL1210985,COC(=O)[C@H](C)NC(=O)N1CCC2(CC1)C(=O)N(c1cccc(F)c1)C2c1ccc(Cl)cc1,827.0,active
CHEMBL1210441,COC(=O)[C@H](CO)NC(=O)N1CCC2(CC1)C(=O)N(c1cccc(F)c1)C2c1ccc(Cl)cc1,3333.0,intermediate
