molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,PIC50
CHEMBL3910259,Cc1ccc(C2(CCO)CC(c3ccncc3)=NN2C(=O)Nc2ccc(F)cc2)cc1,active,418.4720000000001,4.448920000000004,2.0,4.0,6.481486060122113
CHEMBL3966824,COc1ccc(C2=NN(C(=O)Nc3ccc(Cl)cc3)[C@](CCO)(c3cccnc3)C2)cc1,active,450.9260000000002,4.663400000000003,2.0,5.0,7.259637310505756
CHEMBL3937064,CS(=O)(=O)c1ccc(C2(CCO)CC(c3ccccc3)=NN2C(=O)Nc2ccc(F)cc2)cc1,active,481.5490000000001,4.149000000000003,2.0,5.0,6.376750709602099
CHEMBL3898970,COc1ccc(C2(CCO)CC(c3cccnc3)=NN2C(=O)Nc2ccc(Br)cc2)cc1,active,495.3770000000001,4.7725000000000035,2.0,5.0,6.853871964321762
CHEMBL3928071,COc1ccc([C@]2(CCO)CC(c3cccnc3)=NN2C(=O)Nc2ccc(Br)cc2)cc1,active,495.3770000000001,4.7725000000000035,2.0,5.0,7.481486060122112
CHEMBL3983284,COc1ccc([C@@]2(CCO)CC(c3cccnc3)=NN2C(=O)Nc2ccc(Br)cc2)cc1,inactive,495.3770000000001,4.7725000000000035,2.0,5.0,5.0
CHEMBL3941425,COCC1(c2ccc(C)cc2)CC(c2ccccc2)=NN1C(=O)Nc1ccc(F)cc1,active,417.4840000000001,5.317920000000004,1.0,3.0,6.455931955649724
CHEMBL3902564,Cc1ccc(C2(CCN3CCOCC3)CC(c3ccccc3)=NN2C(=O)Nc2ccc(F)cc2)cc1,active,486.59100000000007,5.393820000000005,1.0,4.0,6.366531544420414
CHEMBL3930559,Cc1ccc(C2(CCN(C)C)CC(c3ccccc3)=NN2C(=O)Nc2ccc(F)cc2)cc1,active,444.55400000000014,5.623220000000005,1.0,3.0,6.619788758288394
CHEMBL3893591,Cc1ccc(C2(CCN3CCN(C)CC3)CC(c3ccccc3)=NN2C(=O)Nc2ccc(F)cc2)cc1,active,499.63400000000007,5.309020000000006,1.0,4.0,6.161150909262744
CHEMBL3934636,CC(C)(C)NC(=O)CN1CCC(CNC(=O)c2cc(F)cc(Cl)c2)CC1,active,383.8950000000001,2.8356000000000003,2.0,3.0,7.136677139879544
CHEMBL1684950,CC(C)c1ccc(CC(=O)N[C@H](C)c2ccc(OCC(F)(F)F)cn2)cc1,active,380.41,4.566000000000003,1.0,3.0,8.086186147616283
CHEMBL3892579,O=C(Nc1ccc(F)cc1)N1N=C(c2ccncc2)CC1c1ccc(F)cc1,active,378.3820000000001,4.743000000000003,1.0,3.0,6.657577319177793
CHEMBL1684950,CC(C)c1ccc(CC(=O)N[C@H](C)c2ccc(OCC(F)(F)F)cn2)cc1,active,380.41,4.566000000000003,1.0,3.0,8.086186147616283
CHEMBL3934636,CC(C)(C)NC(=O)CN1CCC(CNC(=O)c2cc(F)cc(Cl)c2)CC1,active,383.8950000000001,2.8356000000000003,2.0,3.0,7.136677139879544
CHEMBL3913893,C[C@@H]1CN(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,399.5380000000001,5.3681000000000045,1.0,2.0,7.455931955649724
CHEMBL3890307,C[C@H]1c2ccccc2N(Cc2ccccc2)CCN1C(=O)NCc1ccccc1,active,385.5110000000001,4.979600000000004,1.0,2.0,6.617982957425132
CHEMBL3959377,C[C@@H]1CN(Cc2ccccc2)c2ccccc2CN1C(=O)NCc1ccccc1,active,385.5110000000001,4.807100000000004,1.0,2.0,6.85078088734462
CHEMBL3979642,O=C(NCc1ccccc1)N1CCN(Cc2ccccc2)c2ccccc2C1,active,371.4840000000001,4.418600000000004,1.0,2.0,6.406713932979542
CHEMBL3950664,C[C@H]1c2ccccc2N(Cc2ccccc2)[C@@H](C)CN1C(=O)NCc1ccccc1,active,399.5380000000001,5.3681000000000045,1.0,2.0,6.333482019445119
CHEMBL3904762,C[C@@H]1CN(C(=O)NCc2ccccc2)[C@@H](C)c2ccccc2N1Cc1ccccc1,active,399.5380000000001,5.368100000000005,1.0,2.0,6.703334809738469
CHEMBL3978731,C[C@H]1CN(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,399.5380000000001,5.3681000000000045,1.0,2.0,6.468521082957745
CHEMBL3899264,C[C@@H]1C(=O)N(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,413.5210000000002,4.894700000000004,1.0,2.0,6.166215625343521
CHEMBL3970445,C[C@@H]1CN(Cc2ccccc2)c2ccccc2C(=O)N1CCc1ccccc1,active,370.4960000000001,4.780200000000004,0.0,2.0,6.209011524911184
CHEMBL3951718,C[C@@H]1c2ccccc2N(Cc2ccccc2)C[C@H](C)N1C(=O)NCc1ccccc1,active,399.5380000000001,5.3681000000000045,1.0,2.0,6.446116973356125
CHEMBL3913893,C[C@@H]1CN(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,399.5380000000001,5.3681000000000045,1.0,2.0,7.769551078621726
CHEMBL3934860,COc1ccc(CNC(=O)N2[C@H](C)CN(Cc3ccccc3)c3ccccc3[C@@H]2C)cc1,active,429.5640000000001,5.376700000000006,1.0,3.0,7.853871964321762
CHEMBL3889862,C[C@@H]1CN(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)Nc1cccnc1,active,386.4990000000001,5.085400000000004,1.0,3.0,7.214670164989233
CHEMBL3977114,C[C@@H]1CN(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)N1CCOCC1,active,379.50400000000025,3.9105000000000025,0.0,3.0,7.236572006437063
CHEMBL3898772,C[C@@H]1CN(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)NC1COC1,active,365.47700000000015,3.5667000000000018,1.0,3.0,7.214670164989233
CHEMBL3941448,C[C@@H]1CN(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)CCc1cccnc1,active,399.5380000000002,5.012700000000004,0.0,3.0,7.42021640338319
CHEMBL3979902,C[C@@H]1CN(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)C1CCOCC1,active,378.51600000000025,4.411500000000004,0.0,3.0,7.327902142064283
CHEMBL3950196,C[C@@H]1CN(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)Cc1cncs1,active,391.54000000000013,4.684100000000004,0.0,4.0,7.259637310505756
CHEMBL3984489,C[C@@H]1CN(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)CN1CCOCC1,active,393.5310000000003,3.3171000000000017,0.0,4.0,7.292429823902063
CHEMBL3951240,C[C@@H]1CN(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)N(C)Cc1ccccc1,active,413.56500000000017,5.7103000000000055,0.0,2.0,6.078313524516398
CHEMBL3936568,C[C@@H]1CN(Cc2ccccc2)c2ccccc2[C@H](C)N1C(=O)OCc1ccccc1,active,400.52200000000016,5.795100000000006,0.0,3.0,6.075204004202088
CHEMBL3924174,C[C@@H]1CN(Cc2ccccc2F)c2ccccc2[C@H](C)N1C(=O)Nc1cccnc1,active,404.4890000000001,5.224500000000004,1.0,3.0,7.958607314841775
CHEMBL3896161,C[C@@H]1CN(Cc2cccc(F)c2)c2ccccc2[C@H](C)N1C(=O)Nc1cccnc1,active,404.4890000000001,5.224500000000005,1.0,3.0,7.853871964321762
CHEMBL3897240,C[C@@H]1CN(Cc2ccc(F)cc2)c2ccccc2[C@H](C)N1C(=O)Nc1cccnc1,active,404.4890000000001,5.224500000000005,1.0,3.0,7.508638306165727
CHEMBL3968363,C[C@@H]1CN(Cc2ccc(F)c(F)c2)c2ccccc2[C@H](C)N1C(=O)Nc1cccnc1,active,422.4790000000001,5.363600000000004,1.0,3.0,7.7447274948966935
CHEMBL3906199,C[C@@H]1CN(Cc2cccc(F)c2F)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,435.51800000000014,5.6463000000000045,1.0,2.0,8.045757490560675
CHEMBL3976890,C[C@@H]1CN(Cc2ccccn2)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,400.5260000000001,4.763100000000005,1.0,3.0,6.319664486585437
CHEMBL3950824,C[C@@H]1CN(Cc2cccnc2)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,400.5260000000001,4.763100000000005,1.0,3.0,6.301029995663981
CHEMBL3949063,C[C@@H]1CN(Cc2cccc(C(F)(F)F)n2)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,468.52300000000014,5.781900000000006,1.0,3.0,7.376750709602099
CHEMBL3978193,C[C@@H]1CN(Cc2cccnc2F)c2ccccc2[C@H](C)N1C(=O)NCc1ccccc1,active,418.51600000000013,4.902200000000004,1.0,3.0,7.309803919971486
CHEMBL3940280,COc1ccc(CN2C[C@@H](C)N(C(=O)NCc3ccccc3)[C@@H](C)c3ccccc32)cn1,active,430.55200000000013,4.7717000000000045,1.0,4.0,7.481486060122112
