,0
2823,C#CCOc1ccc2c(c1OC)-c1ccc3c(c1C(CC=C)O2)C(C)=CC(C)(C)N3
2824,NC1=NC(C2CC2)Cc2ccsc21
2825,CC#CC1Cc2ccsc2C(N)=N1
2826,Oc1ccc(C2COc3cc(O)c(O)cc3C2)cc1
2827,COC(=O)c1oc2c(sc3ccccc32)c1O
2828,S=C(Nc1ccccc1)OC(Cn1ccnc1)c1ccc(Cl)cc1Cl
2829,c1ccc2c(c1)c(C1=NCC3(CN4CCC3CC4)O1)cn2CC1CC1
2830,C=CCOc1ccc2c(c1OC)-c1ccc3c(c1C(CC=C)O2)C(C)=CC(C)(C)N3
2831,CCOC(=O)c1cc(NC(=O)Cc2ccsc2)ccc1OCC(O)CNC(C)C
2832,COc1ccc(C(NC(C)=O)c2ccc(C(C)C)cc(=O)c2O)cc1
2833,COC(=O)c1oc2c(sc3ccccc32)c1OC
2834,CN(C)C(=O)[C@]12CCC(C)(C)CC1C1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
2835,CC1(C)CC[C@]2(C(=O)NCc3ccccc3)CC[C@]3(C)C(C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)C2C1
2836,CC1(C)CC[C@]2(C(=O)N3CCOCC3)CC[C@]3(C)C(C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)C2C1
2837,CC1(C)CC[C@]2(C(=O)OCc3ccccc3)CC[C@]3(C)C(C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)C2C1
2838,CCOC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)C
2839,O=C1C[C@H](O)CC(c2cccc3ccccc23)O1
2840,C=CCC1Oc2cccc(O)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2841,CNC(=O)[C@]12CCC(C)(C)CC1C1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
2842,S=c1oc2ccc(Cl)cc2n1CC1OCCc2ccccc21
2843,O=C(O)C1CC2OC1C(C(=O)O)C2C(=O)O
2844,CCOC(=O)c1cc(NC(=O)c2ccsc2)ccc1OCC(O)CNC(C)(C)C
2845,CC1(C)CC[C@]2(C(=O)OCC3CC3)CC[C@]3(C)C(C(=O)C=C4[C@@]5(C)C=C(C#N)C(=O)C(C)(C)[C@@H]5CC[C@]43C)C2C1
2846,CC[C@]1(c2ccncc2)CC(C)(C)C(=O)NC1=O
2847,Cc1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)C
2848,C=CCC1Oc2ccc(Br)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2849,Nc1nc2c(s1)CN=C(c1ccccc1Cl)c1cc(Cl)ccc1-2
2850,C=CCC1Oc2cccc(OCc3ccccc3)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2851,CC(C)(C)NCC(O)COc1ccc(NC(=O)c2cccs2)cc1C(N)=O
2852,Oc1ccc2c(ccc3c4ccccc4ccc23)c1O
2853,Cn1c([Si](C)(C)C)c(C2=NCC3(CN4CCC3CC4)O2)c2ccccc21
2854,Cn1cc(C2=NC[C@]3(CN4CC[C@@H]3C4)O2)c2ccccc21
2855,Oc1ncc(Oc2cccc(Cl)c2)cn1
2856,CC(C)c1ccc(Oc2cnc(O)nc2)cc1
2857,COc1c2c(cc(O)c1-c1cccs1)OCO2
2858,N#Cc1ccc(C(=O)C(Nc2ccc(Cl)cc2)NC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1
2859,NCCCCNc1ccc2c(CNCCO)nn3c4cccc(O)c4c(=O)c1c23
2860,CCc1ccc(Oc2cnc(O)nc2)cc1
2861,CCc1cccc(Oc2cnc(O)nc2)c1
2862,O=c1oc2ccccc2c(O)c1C1OCCc2ccccc21
2863,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
2864,CCCOC(=O)c1cc(O)c(O)c(O)c1
2865,N#Cc1cccc(C(=O)C(Nc2ccc(Cl)cc2)NC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c1
2866,O=C(c1ccccc1)C(c1ccccc1)C1OCCc2ccccc21
2867,NCCNCc1nn2c3ccccc3c(=O)c3c(NCCN)ccc1c32
2868,CC(=O)NC1C(O)OC(COC(C)=O)C(OC(C)=O)C1O[C@H](C)C(=O)N[C@@H](C)C(=O)NC(CCC(=O)O)C(N)=O
2869,CCCCCCCCCCCCCCCCCCCCCC(=O)OC(C)(C)C(=O)OCC1OC(O)C(NC(C)=O)C(O[C@H](C)C(=O)N[C@@H](C)C(=O)NC(CCC(=O)O)C(N)=O)C1O
2870,CCCCCCCCCCCCCCCCCCCCCC(=O)OC(C)(C)C(=O)OCC(OC(C)=O)C1OC(O)C(NC(C)=O)C1OC(C)C(=O)N[C@@H](C)C(=O)NC(CCC(=O)O)C(N)=O
2871,CCCCCCCCCCCCCCCCCC(=O)OCC1OC(O)C(NC(C)=O)C(O[C@H](C)C(=O)N[C@@H](C)C(=O)NC(CCC(=O)O)C(N)=O)C1O
2872,COC1OC(C(O)CO)C(OC(C)C(=O)N[C@@H](C)C(=O)NC(CCC(=O)O)C(N)=O)C1NC(C)=O
2873,CCCCCCCCCCCCCCCCCC(=O)NCC1OC(O)C(NC(C)=O)C(O[C@H](C)C(=O)N[C@@H](C)C(=O)NC(CCC(=O)O)C(N)=O)C1O
2874,CC(C)c1ccc(C(Sc2ccccc2)c2ccccc2)c(O)c(=O)c1
2875,NCCCC[C@H](C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@H](CC(=O)O)C(=O)O
2876,CC12CCCCC1(Br)[N+]([O-])=[N+]2[O-]
2877,Cn1cc(C2=NCC3(C[N+]4([O-])CCC3CC4)O2)c2ccccc21
2878,C=CCC1Oc2cccc(OCC3CC3)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2879,C#CCOc1cccc2c1-c1ccc3c(c1C(CC=C)O2)C(C)=CC(C)(C)N3
2880,CCOC(=O)[C@]12CCC(C)(C)CC1C1C(=O)C=C3[C@@]4(C)C=C(C(=O)O)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
2881,Cc1nc2c(s1)CN=C(c1ccccc1Cl)c1cc(Cl)ccc1-2
2882,CC[C@H](C)[C@H](N)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)[C@@H](C)O)[C@@H](C)CC
2883,NC(=O)[C@H]1CCCN1C(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1
2884,COc1ccc(C(c2ccc(C(C)C)cc(=O)c2O)n2c(=S)oc3ccccc32)cc1
2885,C=CCC1Oc2cccc(C=C)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2886,NCCCNc1ccc2c(CN3CCOCC3)nn3c4cccc(O)c4c(=O)c1c23
2887,CCOC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C
2888,Cc1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)(C)C
2889,Cc1nc2c(s1)CN=C(c1ccccc1F)c1cc(Cl)ccc1-2
2890,Nc1nc2c(s1)CN=C(c1ccccc1)c1cc(Cl)ccc1-2
2891,C=CCC1Oc2cccc(SC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2892,N#CN/C(=N\C(Cn1ccnc1)c1cc(C(F)(F)F)ccc1C(F)(F)F)Nc1ccc(Cl)cc1Cl
2893,CN(C)CCNc1ccc2c(CN(CCO)CCO)nn3c4cccc(O)c4c(=O)c1c23
2894,CC1(C)CC(=O)C(C2OCCc3ccccc32)=C(O)C1
2895,Oc1ncc(C2OCCc3ccccc32)c(O)n1
2896,COc1c2c(cc(OCc3ccccc3)c1-c1ccco1)OCO2
2897,CC(=O)C1=C(O)CN(C2OCCc3ccccc32)C1=O
2898,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)O
2899,CC(C)(C)C#CC1Cc2ccsc2C(N)=N1
2900,CC(C)c1ccc(C(c2ccccc2)c2ccc(C(C)C)cc(=O)c2O)c(O)c(=O)c1
2901,Cc1cc(O)c(C(C)C)cc1C(c1ccccc1)c1cc(C(C)C)c(O)cc1C
2902,C=CCC1Oc2cccc(CN)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2903,NCCCC[C@H](C(=O)[C@H](CO)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CC(N)=O)C(=O)N1CCC[C@H]1C(=O)O
2904,S=c1oc2ccc(Cl)cc2n1C1OCCc2ccccc21
2905,COc1ccc(C(NC(=O)c2ccccc2)c2ccc(C(C)C)cc(=O)c2O)cc1
2906,Nc1nc(O)c2nc(N)n(COCCI)c2n1
2907,Cn1cc(C2=NCC3(CN4CCC3CC4)O2)c2ccccc21
2908,Cc1ccc(Oc2cnc(O)nc2)cc1
2909,C=CCC1Oc2cccc(C#N)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2910,CCOC(=O)[C@]12CCC(C)(C)CC1C1C(=O)C=C3[C@@]4(C)C=C(C#N)C(=O)C(C)(C)[C@@H]4CC[C@@]3(C)[C@]1(C)CC2
2911,CC(C)NCC(O)COc1ccc(NC(=O)c2cccs2)cc1Cl
2912,CCN(CC)CCNc1ccc2ncn3c4c(O)cccc4c(=O)c1c23
2913,C=CCC1Oc2cccc(NC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2914,Cc1cccc(Oc2cnc(=O)[nH]c2)c1
2915,Cc1ccccc1Oc1cnc(O)nc1
2916,NCCNc1ccc2c(CNCCCCO)nn3c4cccc(O)c4c(=O)c1c23
2917,CCC(=O)C(Nc1ccc(Cl)cc1)NC(Cn1ccnc1)c1ccc(Cl)cc1Cl
2918,CC(C)(C)NCC(O)COc1ccc(NC(=O)c2cccs2)cc1Cl
2919,C=CCC1Oc2ccc(OCC)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2920,Clc1ccc2oc(SCC3OCCc4ccccc43)nc2c1
2921,N#CN/C(=N/c1ccc(Cl)cc1Cl)NC(Cn1ccnc1)c1ccc(Cl)cc1Cl
2922,NC1=NC(C#Cc2ccccc2)Cc2ccsc21
2923,Nc1nc(O)c2nc(N)n(Cc3cccc4ccccc34)c2n1
2924,C=CCC1Oc2cccc(C(=O)OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2925,CCN(CC)CCNc1ccc2ncn3c4cc(OC)c(OC)cc4c(=O)c1c23
2926,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C\Br)[C@H]2SC1.[Na+]
2927,NC1=NC(c2cccs2)Cc2ccsc21
2928,NC1=NC(c2ccco2)Cc2ccsc21
2929,COc1ccc(C(c2oc(CO)cc(=O)c2O)c2oc(CO)cc(=O)c2O)cc1
2930,Nc1nc(O)c2nc(N)n(CC3CCCCC3)c2n1
2931,Nc1nc(O)c2ncn(COCCI)c2n1
2932,CCN(CC)CCNc1ccc2ncn3c4c(OC)ccc(OC)c4c(=O)c1c23
2933,C#Cc1cccc2c1-c1ccc3c(c1C(CC=C)O2)C(C)=CC(C)(C)N3
2934,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(=C(Br)Br)[C@H]2SC1.[Na+]
2935,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)[C@H]2SC1.[Na+]
2936,Oc1ccc(C2OCCc3ccccc32)cc1
2937,CCN(CC)CCNc1ccc2ncn3c4cc(O)ccc4c(=O)c1c23
2938,O=C([O-])CCC/C=C\C[C@@H]1C2CC[C@@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1.[Na+]
2939,Oc1ncc(Oc2ccccc2)cn1
2940,COc1ccc(Oc2cnc(O)nc2)cc1
2941,CC(=O)O[C@H]1C(=O)[C@@]2(C)C([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
2942,O=C(c1ccc(Cl)cc1)C(Nc1ccc(Cl)cc1)NC(Cn1ccnc1)c1ccc(Cl)cc1Cl
2943,Cc1nc(O)c(C#N)c(C)c1-c1ccc(-n2ccnc2)cc1
2944,CC(C)N(CCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23)C(C)C
2945,N#CN/C(=N\C(Cn1ccnc1)c1ccc(Cl)cc1Cl)Nc1ccccc1Cl
2946,CCN(CC)CCNc1ccc2ncn3c4cc5c(cc4c(=O)c1c23)OCO5
2947,NC1=NC(c2ccccc2)Cc2sccc21
2948,NC1=NCCc2sccc21
2949,C=CCC1Oc2cccc(COC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2950,CC[C@H](C)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](N)CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)[C@@H](C)O)[C@@H](C)CC
2951,CC(=O)NCC1OC(O)C(NC(C)=O)C(O[C@H](C)C(=O)N[C@@H](C)C(=O)NC(CCC(=O)O)C(N)=O)C1O
2952,C=CCC1Oc2ccc(OC)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2953,C=CCC1Oc2ccc(O)c(OC)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2954,CC(=O)c1cc(NC(=O)c2cccs2)ccc1OCC(O)CNC(C)C
2955,Nc1nc(O)c2nc(N)n(CCCCCC(=O)O)c2n1
2956,C=CCC1Oc2cccc(CO)c2-c2ccc3c(c21)C(C)=CC(C)(C)N3
2957,CCN(CC)CCNc1ccc2ncn3c4c(OC)cccc4c(=O)c1c23
2958,COc1c2c(cc(O)c1-c1ccc(-c3ccccc3)cc1)OCO2
2959,O=C1c2ccccc2N(COCc2ccccc2)S(=O)(=O)N1Cc1ccccc1
2960,COC(=O)c1ccc(O)c(C2OCCc3ccccc32)c1
2961,CCCCCCn1c(N)nc2c(O)nc(N)nc21
2962,Oc1ncc(Oc2ccc(Cl)cc2)cn1
2963,O=C([O-])CCC/C=C\C[C@H]1[C@@H]2CC[C@@H](C2)[C@H]1CNS(=O)(=O)c1ccccc1.[Na+]
2964,CCN(CC)CCNc1ccc2ncn3c4c(O)ccc(O)c4c(=O)c1c23
2965,S=C(Nc1ccc(Cl)cc1)OC(Cn1ccnc1)c1ccc(Cl)cc1Cl
2966,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccc3)[C@H]2SC1.[Na+]
2967,CN(C)CCCCCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23
2968,CCCCN(CCCC)CCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23
2969,O=C([O-])CCC/C=C\C[C@@H]1C2CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccccc1.[Na+]
2970,CN(C)CCCNc1ccc2ncn3c4cc5c(cc4c(=O)c1c23)OCO5
2971,O=C(Nc1ccc(Cl)cc1Cl)OC(Cn1ccnc1)c1ccc(Cl)cc1Cl
2972,C#CC1Cc2cc(C)sc2C(N)=N1
2973,Cc1c(-c2ccc(-n3ccnc3)cc2)cc(C#N)c(=O)n1C
2974,Cc1c(-c2ccc(-n3ccnc3)cc2)cnc(O)c1C#N
2975,Cc1ccc(Oc2cncnc2O)cc1
2976,COc1cccc2c1c(=O)c1c(NCCN)ccc3c(CNCCN)nn2c31
2977,COc1cc(OC)c(OC)cc1CC(C)N
2978,COc1cc([N+](=O)[O-])c(OC)cc1CC(C)N
2979,CN1C2CCC1CC1(CN=C(c3cn(C)c4ccccc34)O1)C2
2980,O=c1c2c(O)cccc2n2nc(CNCCO)c3ccc(NCCCO)c1c32
2981,COc1cccc(Oc2cncnc2O)c1
2982,Cc1ccc(Oc2cnc(O)nc2)cc1C
2983,Cc1ccc(Oc2cnc(O)nc2)c(C)c1
2984,O=c1c2c(O)cccc2n2nc(CNCCO)c3ccc(NCCNCCO)c1c32
2985,NCCNCc1nn2c3cccc(O)c3c(=O)c3c(NCCN)ccc1c32
2986,COc1cc(CC(C)N)c(OC)cc1Cl
2987,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(=C(Cl)Cl)[C@H]2S(=O)(=O)C1.[Na+]
2988,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/CO)[C@H]2S(=O)(=O)C1.[Na+]
2989,CN(C)CCNc1ccc2c(CNCCO)nn3c4cccc(O)c4c(=O)c1c23
2990,Nc1nc(O)c2ncn(CCCCCP(=O)(O)O)c2n1
2991,NCCNc1ccc2c(CNCCO)nn3c4cccc(O)c4c(=O)c1c23
2992,CCOc1ccc2[nH]c3c(O)nncc3c2c1
2993,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/C(=O)OC(C)(C)C)[C@H]2S(=O)(=O)C1.[Na+]
2994,Nc1nc(O)c2nc(N)n(Cc3ccccc3)c2n1
2995,Cc1cc(C)cc(Oc2cnc(O)nc2)c1
2996,Cn1cc(C2=NCC3(CC4CCC(C3)[N+]4(C)C)O2)c2ccccc21.[I-]
2997,Oc1ncncc1Oc1ccc(F)cc1
2998,Oc1ncncc1Oc1ccccc1Cl
2999,Oc1ncncc1Oc1ccc(Cl)cc1
3000,Oc1ncncc1Oc1cccc(Cl)c1
3001,Oc1ncc(Oc2ccc(Cl)cc2)c(O)n1
3002,Cc1ccc(Oc2cnc(O)nc2O)cc1
3003,Nc1nc(O)c2ncn(COCCOC(=O)c3ccc(S(=O)(=O)F)cc3)c2n1
3004,COc1ccc(O)c2c(=O)c3c(NCCN(C)C)ccc4ncn(c12)c43
3005,Cc1[nH]cnc1CN1c2ccccc2CN(Cc2ccc(C(C)(C)C)cc2)CC1CCc1ccccc1
3006,Oc1ncc(Oc2cccc(C(F)(F)F)c2)cn1
3007,NCCCNc1ccc2c(CNCCO)nn3c4cccc(O)c4c(=O)c1c23
3008,CCN(CC)CCNc1ccc2ncn3c4c(OC)ccc(O)c4c(=O)c1c23
3009,CCCCCCc1cc(OC)c(CC(C)N)cc1OC
3010,CN(C)CCN(C)c1ccc2ncn3c4ccc(O)cc4c(=O)c1c23
3011,CCN(CC)CCNc1ccc2ncn3c4ccc(C(C)(C)C)cc4c(=O)c1c23
3012,Cc1cccc(Sc2cnc(O)nc2)c1
3013,Cc1ccc(Sc2cnc(O)nc2)cc1
3014,Nc1nc(O)c2nc(N)n(-c3cccc(CO)c3)c2n1
3015,Cc1[nH]cnc1CN1c2ccccc2CN(S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1CCc1ccccc1
3016,Oc1n[nH]c2ccccc12
3017,Cc1cccc(Oc2cncnc2O)c1
3018,Oc1ncc(Sc2ccc(Cl)cc2)cn1
3019,Cc1cccc(Oc2cnc(O)nc2O)c1
3020,C=CCn1cc(C2=NCC3(CN4CCC3CC4)O2)c2ccccc21
3021,CSc1ccc(Oc2cnc(O)nc2)cc1
3022,Oc1ncc(Oc2ccc(Br)cc2)cn1
3023,Oc1ncc(Oc2ccccc2)c(O)n1
3024,COc1ccc(S(=O)(=O)N2Cc3ccccc3N(Cc3c[nH]cn3)C(CCc3ccccc3)C2)cc1
3025,Oc1ncncc1Oc1ccccc1
3026,Cc1cc(Oc2cnc(O)nc2)ccc1Cl
3027,Oc1ncc(Oc2ccc(Cl)cc2Cl)cn1
3028,C#CCn1cc(C2=NCC3(CN4CCC3CC4)O2)c2ccccc21
3029,CCn1cc(C2=NCC3(CN4CCC3CC4)O2)c2ccccc21
3030,Oc1ncncc1Oc1ccc(Cl)c(Cl)c1
3031,Oc1ncc(Sc2ccccc2)cn1
3032,COc1ccc(Oc2cncnc2O)cc1
3033,CCN(CC)CCNCCNc1ccc2ncn3c4ccc(O)cc4c(=O)c1c23
3034,COc1cc(C(=N)N)c(OC)cc1CC(C)N
3035,COc1cc(C(C)(C)C)c(OC)cc1CC(C)N
3036,CCCCc1cc(OC)c(CC(C)N)cc1OC
3037,COc1cccc2c1c(=O)c1c(NCCN(C)C)ccc3c(CNCCN(C)C)nn2c31
3038,COc1cc2c(=O)c3c(NCCCN(C)C)ccc4ncn(c2cc1OC)c43
3039,CCCCCNC(=O)c1cccc2n[nH]c(O)c12
3040,COc1cc(CC(C)N)c(OC)cc1C
3041,CCN(CC)CCNc1ccc2ncn3c4ccc(C)cc4c(=O)c1c23
3042,CCN(CC)CCNc1ccc2ncn3c4cc(OC)c(OC)c(O)c4c(=O)c1c23
3043,O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1
3044,Cn1cc(C2=NCC3(CC4CCC(C3)N4Cc3ccccc3)O2)c2ccccc21
3045,Oc1ncc(Oc2ccc(F)cc2)cn1
3046,COc1cccc(Oc2cnc(O)nc2)c1
3047,O=c1[nH]n(-c2ccccc2)c2ccccc12
3048,O=c1[nH]n(Cc2ccccc2)c2ccccc12
3049,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
3050,CON(C)CCc1c[nH]c2ccccc12
3051,c1ccc2c(C3=NCC4(CN5CCC4CC5)O3)c[nH]c2c1
3052,CCNCc1nn2c3cccc(O)c3c(=O)c3c(NCCN(C)C)ccc1c32
3053,O=C(O)CCC/C=C\C[C@H]1C2CC[C@@H](C2)[C@@H]1NS(=O)(=O)c1ccccc1
3054,C[S+]([O-])c1ccc(Oc2cnc(O)nc2)cc1
3055,NCCNc1ccc2c(CNCCCO)nn3c4cccc(O)c4c(=O)c1c23
3056,O=C1c2ccccc2CC1C1OCCc2ccccc21
3057,Oc1ccccc1C1OCCc2ccccc21
3058,CC1(C)[C@H]2C[C@H](NC(=O)[C@H](O)C3CCCC3)[C@@H](C/C=C\CCCC(=O)O)[C@@H]1C2
3059,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccc3)[C@H]2S(=O)(=O)C1.[Na+]
3060,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C\c3ccccc3)[C@H]2S(=O)(=O)C1.[Na+]
3061,OCC1OC(c2n[nH]c3c(O)ncnc23)C(O)C1O
3062,CN(C)CCNCc1nn2c3ccccc3c(=O)c3c(NCCN(C)C)ccc1c32
3063,CN(C)CCNCc1nn2c3cccc(O)c3c(=O)c3c(NCCN(C)C)ccc1c32
3064,Cn1cc(C2=NCC3(CC4CCC(C3)N4)O2)c2ccccc21
3065,COc1cc(CC(C)N)c(OC)cc1O
3066,COc1cc(C(=O)O)c(OC)cc1CC(C)N
3067,CCCCCCCCc1cc(OC)c(CC(C)N)cc1OC
3068,Nc1nc2[nH]c(N)nc2c(=O)[nH]1
3069,Cn1cc(C2=NC[C@@]3(C[N@@]4CC[C@@H]3C4)O2)c2ccccc21
3070,Cn1cc(C2=NCC3(CCN4CCCC3C4)O2)c2ccccc21
3071,COc1cc2c[n+](C)c3c(c2cc1OC)Cc1cc(OS(C)(=O)=O)c(OC)cc1-3.[Cl-]
3072,COc1cc2c(cc1O)Cc1c-2[n+](C)cc2cc(OC)c(OC)cc12.[Cl-]
3073,c1ccc2cc(CNCCc3c[nH]c4ccccc34)ccc2c1
3074,CCCN1CCCC(c2cccc(O)c2)C1
3075,O=C1[C@@H](NS(=O)(=O)c2cc3nc(Cl)ccc3s2)CCN1Cc1cc2[nH]cccc-2n1
3076,Cc1[nH]cnc1CN1c2ccccc2CN(S(=O)(=O)c2ccc(C(C)(C)C)cc2)CC1CCc1ccccc1
3077,CCCCOC(=O)c1cc(OC)c(CC(C)N)cc1OC
3078,COc1cc2c[n+](C)c3c(c2cc1OC)Cc1c-3ccc(OS(C)(=O)=O)c1OC.[Cl-]
3079,O=S(=O)(c1ccccc1)N1Cc2ccccc2N(Cc2c[nH]cn2)C(CCc2ccccc2)C1
3080,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C\Br)[C@H]2S(=O)(=O)C1.[Na+]
3081,CCOc1ccnc(N2CCN(c3cc(N)c4cc(OC)c(OC)cc4n3)CC2)n1
3082,COc1cc2nc(N3CCN(c4nccc(C)n4)CC3)cc(N)c2cc1OC
3083,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Oc4ccc(C(F)(F)F)cc4)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
3084,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Oc4cc(C(F)(F)F)cc(C(F)(F)F)c4)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
3085,CC(=O)Nc1ccc(S(=O)(=O)N2Cc3ccccc3N(Cc3c[nH]cn3)C(CCc3ccccc3)C2)cc1
3086,CCCOC(=O)c1cc(OC)c(CC(C)N)cc1OC
3087,CCCNC(=O)c1cc(OC)c(CC(C)N)cc1OC
3088,COc1cc(CC(C)N)c(OC)cc1Cc1ccccc1
3089,COc1ccc2c(c1)cc1c(S)nncn12
3090,COc1ccc2c(c1)cc1c(O)nncn12
3091,CCCCCCC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12
3092,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](Oc4cccc(C)c4)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
3093,N=C(N)N1CCN(Cc2c[nH]c3ccccc23)CC1
3094,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/C(C)(C)C)[C@H]2SC1.[Na+]
3095,Cc1c(C(=O)N(C)CCC(=O)O)s/c(=N\C(=O)c2ccc(C(=N)N)cc2)n1C
3096,COc1cc(CC(C)N)c(OC)cc1CCCc1ccccc1
3097,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(=C(Cl)Cl)[C@H]2SC1.[Na+]
3098,O=[N+]([O-])c1cccc(S(=O)(=O)N2Cc3ccccc3N(Cc3c[nH]cn3)C(CCc3ccccc3)C2)c1
3099,COc1cc2c[n+](C)c3c4cc5c(cc4ccc3c2cc1OC)OCO5.[Cl-]
